Date,Sentiment_Score
2022-11-09,0.16648928571428573
2022-11-10,0.07692222222222223
2022-11-11,0.14244077669902913
2022-11-12,0.15004375
2022-11-13,0.13877307692307694
2022-11-14,0.1358818181818182
2022-11-15,0.1575054945054945
2022-11-16,0.07106144578313252
2022-11-17,0.08909285714285715
2022-11-18,0.15849047619047618
2022-11-19,0.045961538461538456
2022-11-20,0.017466666666666655
2022-11-21,0.09787586206896552
2022-11-22,0.13111311475409837
2022-11-23,0.10588688524590165
2022-11-24,0.12007971014492755
2022-11-25,0.1121231884057971
2022-11-26,-0.030064285714285717
2022-11-27,0.17146923076923076
2022-11-28,0.13269999999999998
2022-12-01,0.09106666666666667
2022-12-02,0.11960491803278687
2022-12-03,0.04095652173913043
2022-12-04,0.06759642857142857
2022-12-05,0.10685342465753425
2022-12-06,0.11716666666666668
2022-12-07,0.06148202247191012
2022-12-08,0.13656666666666667
2022-12-09,0.15463768115942028
2022-12-10,0.04774
2022-12-11,0.0025071428571428666
2022-12-12,0.08577831325301205
2022-12-13,0.118720987654321
2022-12-14,0.13645555555555555
2022-12-15,0.15982533333333335
2022-12-16,-0.04900714285714285
2022-12-17,-0.0738
2022-12-18,0.03934857142857142
2022-12-19,0.08967878787878787
2022-12-20,0.09429175257731959
2022-12-21,0.0993949494949495
2022-12-22,0.06943240740740741
2022-12-23,0.08358125
2022-12-24,0.045172972972972965
2022-12-25,0.09060540540540542
2022-12-26,0.032898701298701295
2022-12-27,0.13468552631578948
2022-12-28,0.12357971014492752
2022-12-29,0.04228148148148148
2023-01-01,0.0636448275862069
2023-01-02,0.16003389830508474
2023-01-03,0.18008481012658226
2023-01-04,0.05365833333333333
2023-01-05,0.09022297297297296
2023-01-06,-0.002575362318840581
2023-01-07,0.019388
2023-01-08,0.22047272727272726
2023-01-09,0.03658051948051948
2023-01-10,0.11883411764705881
2023-01-11,0.1213891891891892
2023-01-12,0.11574907407407407
2023-01-13,0.1092357894736842
2023-01-14,0.09707352941176471
2023-01-15,0.21373124999999998
2023-01-16,0.09475492957746479
2023-01-17,0.11266373626373626
2023-01-18,0.070683908045977
2023-01-19,0.15669607843137257
2023-01-20,0.2137063829787234
2023-01-21,0.18846071428571426
2023-01-22,0.02980952380952381
2023-01-23,0.18611666666666665
2023-01-24,0.13591666666666666
2023-01-25,0.10263291139240507
2023-01-26,0.06156296296296296
2023-01-27,0.08835479452054794
2023-01-28,0.0583551724137931
2023-01-29,0.11351935483870967
2023-02-01,0.13764621848739494
2023-02-02,0.1314158878504673
2023-02-03,0.19467674418604652
2023-02-04,0.030173529411764707
2023-02-05,0.16018095238095237
2023-02-06,0.14374183673469387
2023-02-07,0.04243434343434343
2023-02-08,0.09253492063492064
2023-02-09,0.09932380952380952
2023-02-10,0.09980744680851064
2023-02-11,0.10634285714285714
2023-02-12,-0.012474999999999997
2023-02-13,0.11323333333333334
2023-02-14,0.11138888888888888
2023-02-15,0.13742068965517243
2023-02-16,0.12790227272727273
2023-02-17,0.10809240506329115
2023-02-18,0.010340909090909095
2023-02-19,0.10743333333333334
2023-02-20,0.11214534883720931
2023-02-21,0.03964794520547945
2023-02-22,0.05324769230769231
2023-02-23,0.13175
2023-02-24,0.016743589743589745
2023-02-25,-0.1668058823529412
2023-02-26,0.08525238095238095
2023-03-01,0.13217073170731705
2023-03-02,0.11315128205128204
2023-03-03,0.052267692307692314
2023-03-04,0.036515789473684224
2023-03-05,0.11959444444444446
2023-03-06,0.12524939759036144
2023-03-07,0.1863344827586207
2023-03-08,0.08182631578947368
2023-03-09,0.11084492753623189
2023-03-10,0.1419529411764706
2023-03-11,0.014116666666666663
2023-03-12,0.128268
2023-03-13,0.056862903225806456
2023-03-14,0.14351666666666668
2023-03-15,0.06538507462686567
2023-03-16,0.074312987012987
2023-03-17,0.08468928571428572
2023-03-18,0.0030583333333333296
2023-03-19,0.10750967741935483
2023-03-20,0.04615555555555555
2023-03-21,0.0011209677419354803
2023-03-22,0.009435064935064932
2023-03-23,0.04737090909090909
2023-03-24,0.08286266666666667
2023-03-25,0.0713
2023-03-26,-0.03735
2023-03-27,0.1296378787878788
2023-03-28,0.09224285714285714
2023-03-29,0.09219058823529412
2023-04-01,0.0837972972972973
2023-04-02,0.13295
2023-04-03,0.12297415730337077
2023-04-04,0.10420169491525423
2023-04-05,0.08943658536585367
2023-04-06,0.1106872549019608
2023-04-07,0.13691025641025642
2023-04-08,0.1295736842105263
2023-04-09,-0.00038888888888889337
2023-04-10,0.10313571428571429
2023-04-11,0.09139761904761905
2023-04-12,0.1464446153846154
2023-04-13,0.03480247933884298
2023-04-14,0.08922857142857142
2023-04-15,0.11942222222222222
2023-04-16,0.12000000000000001
2023-04-17,0.1097695652173913
2023-04-18,0.059201315789473685
2023-04-19,0.12798709677419354
2023-04-20,0.1372551282051282
2023-04-21,0.09738529411764707
2023-04-22,0.11196129032258065
2023-04-23,0.061825000000000005
2023-04-24,0.16286352941176468
2023-04-25,0.22104415584415582
2023-04-26,0.15482409638554218
2023-04-27,0.16231264367816092
2023-04-28,0.15323827160493828
2023-05-01,0.07649512195121952
2023-05-02,0.13725714285714286
2023-05-03,0.17211927710843372
2023-05-04,0.18173703703703706
2023-05-05,0.16657605633802816
2023-05-06,0.17370666666666665
2023-05-07,0.19499444444444444
2023-05-08,0.1979876923076923
2023-05-09,0.1590184210526316
2023-05-10,0.13883625
2023-05-11,0.12683368421052632
2023-05-12,0.16338625
2023-05-13,3.0769230769229514e-05
2023-05-14,0.109444
